frequency_hz,relative_spectral_error
1,0.000313737463256
1.1220184543,0.000313737109097
1.25892541179,0.000313736586595
1.41253754462,0.000313736360735
1.58489319246,0.000313736624417
1.77827941004,0.000313736883373
1.99526231497,0.000313737100076
2.23872113857,0.000313737246136
2.51188643151,0.000313737303958
2.81838293126,0.000313737271932
3.16227766017,0.000313737166079
3.54813389234,0.000313737016155
3.98107170553,0.000313736864159
4.46683592151,0.000313736759316
5.01187233627,0.000313736785745
5.6234132519,0.000313736785726
6.3095734448,0.000313736960789
7.07945784384,0.0003137372403
7.94328234724,0.000313737573123
8.91250938134,0.000313737890188
10,0.000313738116468
11.220184543,0.000313738189491
12.5892541179,0.000313738080904
14.1253754462,0.000313737814018
15.8489319246,0.000313737471783
17.7827941004,0.00031373725203
19.9526231497,0.000313737913374
22.3872113857,0.000313737566503
25.1188643151,0.000313737623118
28.1838293126,0.000313738294488
31.6227766017,0.00031373903392
35.4813389234,0.00031373960615
39.8107170553,0.000313739812313
44.6683592151,0.000313739568943
50.1187233627,0.00031373896013
56.234132519,0.000313738243364
63.095734448,0.000313739086656
70.7945784384,0.000313739693966
79.4328234724,0.000313738241756
89.1250938134,0.00031373931063
100,0.000313740693724
112.20184543,0.000313741884838
125.892541179,0.000313742431881
141.253754462,0.000313742090747
158.489319246,0.000313740959889
177.827941004,0.000313739516568
199.526231497,0.000313741627272
223.872113857,0.000313742822812
251.188643151,0.000313739510651
281.838293126,0.000313740904317
316.227766017,0.000313743208362
354.813389234,0.000313744998654
398.107170553,0.000313745484458
446.683592151,0.000313744315641
501.187233627,0.000313741744378
562.34132519,0.000313739611368
630.95734448,0.000313747255673
707.945784384,0.00031374873422
794.328234724,0.000313742594667
891.250938134,0.000313737261211
1000,0.000313739464517
1122.0184543,0.000313740778972
1258.92541179,0.000313739627742
1412.53754462,0.000313735736105
1584.89319246,0.000313735142863
1778.27941004,0.000313746223705
1995.26231497,0.000313759217234
2238.72113857,0.000313758498237
2511.88643151,0.000313741523697
2818.38293126,0.000313728345942
3162.27766017,0.000313722674184
3548.13389234,0.000313720870096
3981.07170553,0.000313724257858
4466.83592151,0.000313731846734
5011.87233627,0.000313749180233
5623.4132519,0.000313741386478
6309.5734448,0.000313725228984
7079.45784384,0.000313712851588
7943.28234724,0.000313714269491
8912.50938134,0.00031372521694
10000,0.000313692146076
