time_s,positive_sequence_v,negative_sequence_v,frequency_hz,valid
0.00137,0,0,0,0
0.00138,0,0,0,0
0.00139,0,0,0,0
0.0014,0,0,0,0
0.00141,0,0,0,0
0.00142,0,0,0,0
0.00143,0,0,0,0
0.00144,0,0,0,0
0.00145,0,0,0,0
0.00146,0,0,0,0
0.00147,0,0,0,0
0.00148,0,0,0,0
0.00149,0,0,0,0
0.0015,0,0,0,0
0.00151,0,0,0,0
0.00152,0,0,0,0
0.00153,0,0,0,0
0.00154,0,0,0,0
0.00155,0,0,0,0
0.00156,0,0,0,0
0.00157,0,0,0,0
0.00158,0,0,0,0
0.00159,0,0,0,0
0.0016,0,0,0,0
0.00161,0,0,0,0
0.00162,0,0,0,0
0.00163,0,0,0,0
0.00164,0,0,0,0
0.00165,0,0,0,0
0.00166,0,0,0,0
0.00167,0,0,0,0
0.00168,0,0,0,0
0.00169,0,0,0,0
0.0017,0,0,0,0
0.00171,0,0,0,0
0.00172,0,0,0,0
0.00173,0,0,0,0
0.00174,0,0,0,0
0.00175,0,0,0,0
0.00176,0,0,0,0
0.00177,0,0,0,0
0.00178,0,0,0,0
0.00179,0,0,0,0
0.0018,0,0,0,0
0.00181,0,0,0,0
0.00182,0,0,0,0
0.00183,0,0,0,0
0.00184,0,0,0,0
0.00185,0,0,0,0
0.00186,0,0,0,0
0.00187,0,0,0,0
0.00188,0,0,0,0
0.00189,0,0,0,0
0.0019,0,0,0,0
0.00191,0,0,0,0
0.00192,0,0,0,0
0.00193,0,0,0,0
0.00194,0,0,0,0
0.00195,0,0,0,0
0.00196,0,0,0,0
0.00197,0,0,0,0
0.00198,0,0,0,0
0.00199,0,0,0,0
0.002,0,0,0,0
0.00201,0,0,0,0
0.00202,0,0,0,0
0.00203,0,0,0,0
0.00204,0,0,0,0
0.00205,0,0,0,0
0.00206,0,0,0,0
0.00207,0,0,0,0
0.00208,0,0,0,0
0.00209,0,0,0,0
0.0021,0,0,0,0
0.00211,0,0,0,0
0.00212,0,0,0,0
0.00213,0,0,0,0
0.00214,0,0,0,0
0.00215,0,0,0,0
0.00216,0,0,0,0
0.00217,0,0,0,0
0.00218,0,0,0,0
0.00219,0,0,0,0
0.0022,0,0,0,0
0.00221,0,0,0,0
0.00222,0,0,0,0
0.00223,0,0,0,0
0.00224,0,0,0,0
0.00225,0,0,0,0
0.00226,0,0,0,0
0.00227,0,0,0,0
0.00228,0,0,0,0
0.00229,0,0,0,0
0.0023,0,0,0,0
0.00231,0,0,0,0
0.00232,0,0,0,0
0.00233,0,0,0,0
0.00234,0,0,0,0
0.00235,0,0,0,0
0.00236,0,0,0,0
0.00237,0,0,0,0
0.00238,0,0,0,0
0.00239,0,0,0,0
0.0024,0,0,0,0
0.00241,0,0,0,0
0.00242,0,0,0,0
0.00243,0,0,0,0
0.00244,0,0,0,0
0.00245,0,0,0,0
0.00246,0,0,0,0
0.00247,0,0,0,0
0.00248,0,0,0,0
0.00249,0,0,0,0
0.0025,0,0,0,0
0.00251,0,0,0,0
0.00252,0,0,0,0
0.00253,0,0,0,0
0.00254,0,0,0,0
0.00255,0,0,0,0
0.00256,0,0,0,0
0.00257,0,0,0,0
0.00258,0,0,0,0
0.00259,0,0,0,0
0.0026,0,0,0,0
0.00261,0,0,0,0
0.00262,0,0,0,0
0.00263,0,0,0,0
0.00264,0,0,0,0
0.00265,0,0,0,0
0.00266,0,0,0,0
0.00267,0,0,0,0
0.00268,0,0,0,0
0.00269,0,0,0,0
0.0027,0,0,0,0
0.00271,0,0,0,0
0.00272,0,0,0,0
0.00273,0,0,0,0
0.00274,0,0,0,0
0.00275,0,0,0,0
0.00276,0,0,0,0
0.00277,0,0,0,0
0.00278,0,0,0,0
0.00279,0,0,0,0
0.0028,0,0,0,0
0.00281,0,0,0,0
0.00282,0,0,0,0
0.00283,0,0,0,0
0.00284,0,0,0,0
0.00285,0,0,0,0
0.00286,0,0,0,0
0.00287,0,0,0,0
0.00288,0,0,0,0
0.00289,0,0,0,0
0.0029,0,0,0,0
0.00291,0,0,0,0
0.00292,0,0,0,0
0.00293,0,0,0,0
0.00294,0,0,0,0
0.00295,0,0,0,0
0.00296,0,0,0,0
0.00297,0,0,0,0
0.00298,0,0,0,0
0.00299,0,0,0,0
0.003,0,0,0,0
0.00301,0,0,0,0
0.00302,0,0,0,0
0.00303,0,0,0,0
0.00304,0,0,0,0
0.00305,0,0,0,0
0.00306,0,0,0,0
0.00307,0,0,0,0
0.00308,0,0,0,0
0.00309,0,0,0,0
0.0031,0,0,0,0
0.00311,0,0,0,0
0.00312,0,0,0,0
0.00313,0,0,0,0
0.00314,0,0,0,0
0.00315,0,0,0,0
0.00316,0,0,0,0
0.00317,0,0,0,0
0.00318,0,0,0,0
0.00319,0,0,0,0
0.0032,0,0,0,0
0.00321,0,0,0,0
0.00322,0,0,0,0
0.00323,0,0,0,0
0.00324,0,0,0,0
0.00325,0,0,0,0
0.00326,0,0,0,0
0.00327,0,0,0,0
0.00328,0,0,0,0
0.00329,0,0,0,0
0.0033,0,0,0,0
0.00331,0,0,0,0
0.00332,0,0,0,0
0.00333,0,0,0,0
0.00334,0,0,0,0
0.00335,0,0,0,0
0.00336,0,0,0,0
0.00337,0,0,0,0
0.00338,0,0,0,0
0.00339,0,0,0,0
0.0034,0,0,0,0
0.00341,0,0,0,0
0.00342,0,0,0,0
0.00343,0,0,0,0
0.00344,0,0,0,0
0.00345,0,0,0,0
0.00346,0,0,0,0
0.00347,0,0,0,0
0.00348,0,0,0,0
0.00349,0,0,0,0
0.0035,0,0,0,0
0.00351,0,0,0,0
0.00352,0,0,0,0
0.00353,0,0,0,0
0.00354,0,0,0,0
0.00355,0,0,0,0
0.00356,0,0,0,0
0.00357,0,0,0,0
0.00358,0,0,0,0
0.00359,0,0,0,0
0.0036,0,0,0,0
0.00361,0,0,0,0
0.00362,0,0,0,0
0.00363,0,0,0,0
0.00364,0,0,0,0
0.00365,0,0,0,0
0.00366,0,0,0,0
0.00367,0,0,0,0
0.00368,0,0,0,0
0.00369,0,0,0,0
0.0037,0,0,0,0
0.00371,0,0,0,0
0.00372,0,0,0,0
0.00373,0,0,0,0
0.00374,0,0,0,0
0.00375,0,0,0,0
0.00376,0,0,0,0
0.00377,0,0,0,0
0.00378,0,0,0,0
0.00379,0,0,0,0
0.0038,0,0,0,0
0.00381,0,0,0,0
0.00382,0,0,0,0
0.00383,0,0,0,0
0.00384,0,0,0,0
0.00385,0,0,0,0
0.00386,0,0,0,0
0.00387,0,0,0,0
0.00388,0,0,0,0
0.00389,0,0,0,0
0.0039,0,0,0,0
0.00391,0,0,0,0
0.00392,0,0,0,0
0.00393,0,0,0,0
0.00394,0,0,0,0
0.00395,0,0,0,0
0.00396,0,0,0,0
0.00397,0,0,0,0
0.00398,0,0,0,0
0.00399,0,0,0,0
0.004,0,0,0,0
0.00401,0,0,0,0
0.00402,0,0,0,0
0.00403,0,0,0,0
0.00404,0,0,0,0
0.00405,65.9585946781,51.2955042356,0,0
0.00406,65.9585946781,51.2955042356,0,0
0.00407,65.9585946781,51.2955042356,0,0
0.00408,65.9585946781,51.2955042356,0,0
0.00409,65.9585946781,51.2955042356,0,0
0.0041,66.824035391,51.6051775928,49.9134132934,1
0.00411,66.824035391,51.6051775928,49.9134132934,1
0.00412,66.824035391,51.6051775928,49.9134132934,1
0.00413,66.824035391,51.6051775928,49.9134132934,1
0.00414,66.824035391,51.6051775928,49.9134132934,1
0.00415,67.4764660231,51.8367138716,49.5011019751,1
0.00416,67.4764660231,51.8367138716,49.5011019751,1
0.00417,67.4764660231,51.8367138716,49.5011019751,1
0.00418,67.4764660231,51.8367138716,49.5011019751,1
0.00419,67.4764660231,51.8367138716,49.5011019751,1
0.0042,67.9527653775,52.0032744433,49.289834785,1
0.00421,67.9527653775,52.0032744433,49.289834785,1
0.00422,67.9527653775,52.0032744433,49.289834785,1
0.00423,67.9527653775,52.0032744433,49.289834785,1
0.00424,67.9527653775,52.0032744433,49.289834785,1
0.00425,68.3005305523,52.1224468139,49.2341745366,1
0.00426,68.3005305523,52.1224468139,49.2341745366,1
0.00427,68.3005305523,52.1224468139,49.2341745366,1
0.00428,68.3005305523,52.1224468139,49.2341745366,1
0.00429,68.3005305523,52.1224468139,49.2341745366,1
0.0043,68.5542407069,52.2069166843,49.2535358414,1
0.00431,68.5542407069,52.2069166843,49.2535358414,1
0.00432,68.5542407069,52.2069166843,49.2535358414,1
0.00433,68.5542407069,52.2069166843,49.2535358414,1
0.00434,68.5542407069,52.2069166843,49.2535358414,1
0.00435,68.7393995913,52.266526085,49.3259700008,1
0.00436,68.7393995913,52.266526085,49.3259700008,1
0.00437,68.7393995913,52.266526085,49.3259700008,1
0.00438,68.7393995913,52.266526085,49.3259700008,1
0.00439,68.7393995913,52.266526085,49.3259700008,1
0.0044,68.8745220784,52.3084493989,49.4124931445,1
0.00441,68.8745220784,52.3084493989,49.4124931445,1
0.00442,68.8745220784,52.3084493989,49.4124931445,1
0.00443,68.8745220784,52.3084493989,49.4124931445,1
0.00444,68.8745220784,52.3084493989,49.4124931445,1
0.00445,68.9730187998,52.3377151247,49.4998871322,1
0.00446,68.9730187998,52.3377151247,49.4998871322,1
0.00447,68.9730187998,52.3377151247,49.4998871322,1
0.00448,68.9730187998,52.3377151247,49.4998871322,1
0.00449,68.9730187998,52.3377151247,49.4998871322,1
0.0045,69.0447060749,52.3581611313,49.5850474936,1
0.00451,69.0447060749,52.3581611313,49.5850474936,1
0.00452,69.0447060749,52.3581611313,49.5850474936,1
0.00453,69.0447060749,52.3581611313,49.5850474936,1
0.00454,69.0447060749,52.3581611313,49.5850474936,1
0.00455,69.0970794371,52.3723979342,49.6639677521,1
0.00456,69.0970794371,52.3723979342,49.6639677521,1
0.00457,69.0970794371,52.3723979342,49.6639677521,1
0.00458,69.0970794371,52.3723979342,49.6639677521,1
0.00459,69.0970794371,52.3723979342,49.6639677521,1
0.0046,69.1351066473,52.3821798528,49.7245013101,1
0.00461,69.1351066473,52.3821798528,49.7245013101,1
0.00462,69.1351066473,52.3821798528,49.7245013101,1
0.00463,69.1351066473,52.3821798528,49.7245013101,1
0.00464,69.1351066473,52.3821798528,49.7245013101,1
0.00465,69.1629759214,52.3889115905,49.7736822725,1
0.00466,69.1629759214,52.3889115905,49.7736822725,1
0.00467,69.1629759214,52.3889115905,49.7736822725,1
0.00468,69.1629759214,52.3889115905,49.7736822725,1
0.00469,69.1629759214,52.3889115905,49.7736822725,1
0.0047,69.1832478,52.3935936627,49.8224657895,1
0.00471,69.1832478,52.3935936627,49.8224657895,1
0.00472,69.1832478,52.3935936627,49.8224657895,1
0.00473,69.1832478,52.3935936627,49.8224657895,1
0.00474,69.1832478,52.3935936627,49.8224657895,1
0.00475,69.1979737874,52.3967684014,49.8641558512,1
0.00476,69.1979737874,52.3967684014,49.8641558512,1
0.00477,69.1979737874,52.3967684014,49.8641558512,1
0.00478,69.1979737874,52.3967684014,49.8641558512,1
0.00479,69.1979737874,52.3967684014,49.8641558512,1
0.0048,69.208617719,52.3989453019,49.8898755418,1
0.00481,69.208617719,52.3989453019,49.8898755418,1
0.00482,69.208617719,52.3989453019,49.8898755418,1
0.00483,69.208617719,52.3989453019,49.8898755418,1
0.00484,69.208617719,52.3989453019,49.8898755418,1
0.00485,69.2163007097,52.4003909444,49.9122033915,1
0.00486,69.2163007097,52.4003909444,49.9122033915,1
0.00487,69.2163007097,52.4003909444,49.9122033915,1
0.00488,69.2163007097,52.4003909444,49.9122033915,1
0.00489,69.2163007097,52.4003909444,49.9122033915,1
0.0049,69.2220412796,52.4013913558,49.9293655654,1
0.00491,69.2220412796,52.4013913558,49.9293655654,1
0.00492,69.2220412796,52.4013913558,49.9293655654,1
0.00493,69.2220412796,52.4013913558,49.9293655654,1
0.00494,69.2220412796,52.4013913558,49.9293655654,1
0.00495,69.2261434095,52.4020191988,49.9476986493,1
0.00496,69.2261434095,52.4020191988,49.9476986493,1
0.00497,69.2261434095,52.4020191988,49.9476986493,1
0.00498,69.2261434095,52.4020191988,49.9476986493,1
0.00499,69.2261434095,52.4020191988,49.9476986493,1
0.005,69.2292127041,52.4024598187,49.9629854248,1
0.00501,69.2292127041,52.4024598187,49.9629854248,1
0.00502,69.2292127041,52.4024598187,49.9629854248,1
0.00503,69.2292127041,52.4024598187,49.9629854248,1
0.00504,69.2292127041,52.4024598187,49.9629854248,1
0.00505,69.2313402746,52.4027205553,49.9643029462,1
0.00506,69.2313402746,52.4027205553,49.9643029462,1
0.00507,69.2313402746,52.4027205553,49.9643029462,1
0.00508,69.2313402746,52.4027205553,49.9643029462,1
0.00509,69.2313402746,52.4027205553,49.9643029462,1
0.0051,69.2236402474,52.4002580685,49.9564178428,1
0.00511,69.2236402474,52.4002580685,49.9564178428,1
0.00512,69.2236402474,52.4002580685,49.9564178428,1
0.00513,69.2236402474,52.4002580685,49.9564178428,1
0.00514,69.2236402474,52.4002580685,49.9564178428,1
0.00515,69.136368481,52.3750613393,49.8132823257,1
0.00516,69.136368481,52.3750613393,49.8132823257,1
0.00517,69.136368481,52.3750613393,49.8132823257,1
0.00518,69.136368481,52.3750613393,49.8132823257,1
0.00519,69.136368481,52.3750613393,49.8132823257,1
0.0052,68.9909122319,52.3300138385,49.7447432881,1
0.00521,68.9909122319,52.3300138385,49.7447432881,1
0.00522,68.9909122319,52.3300138385,49.7447432881,1
0.00523,68.9909122319,52.3300138385,49.7447432881,1
0.00524,68.9909122319,52.3300138385,49.7447432881,1
0.00525,68.8029255113,52.2679873467,49.731578001,1
0.00526,68.8029255113,52.2679873467,49.731578001,1
0.00527,68.8029255113,52.2679873467,49.731578001,1
0.00528,68.8029255113,52.2679873467,49.731578001,1
0.00529,68.8029255113,52.2679873467,49.731578001,1
0.0053,68.5838883694,52.191207248,49.734046986,1
0.00531,68.5838883694,52.191207248,49.734046986,1
0.00532,68.5838883694,52.191207248,49.734046986,1
0.00533,68.5838883694,52.191207248,49.734046986,1
0.00534,68.5838883694,52.191207248,49.734046986,1
0.00535,68.342216693,52.1014715833,49.7625687751,1
0.00536,68.342216693,52.1014715833,49.7625687751,1
0.00537,68.342216693,52.1014715833,49.7625687751,1
0.00538,68.342216693,52.1014715833,49.7625687751,1
0.00539,68.342216693,52.1014715833,49.7625687751,1
0.0054,68.0839216419,51.9998916409,49.7853534187,1
0.00541,68.0839216419,51.9998916409,49.7853534187,1
0.00542,68.0839216419,51.9998916409,49.7853534187,1
0.00543,68.0839216419,51.9998916409,49.7853534187,1
0.00544,68.0839216419,51.9998916409,49.7853534187,1
0.00545,67.8135060797,51.8878013827,49.8232788155,1
0.00546,67.8135060797,51.8878013827,49.8232788155,1
0.00547,67.8135060797,51.8878013827,49.8232788155,1
0.00548,67.8135060797,51.8878013827,49.8232788155,1
0.00549,67.8135060797,51.8878013827,49.8232788155,1
0.0055,67.5342373672,51.765928383,49.8498479531,1
0.00551,67.5342373672,51.765928383,49.8498479531,1
0.00552,67.5342373672,51.765928383,49.8498479531,1
0.00553,67.5342373672,51.765928383,49.8498479531,1
0.00554,67.5342373672,51.765928383,49.8498479531,1
0.00555,67.2485829344,51.6349948778,49.8764940508,1
0.00556,67.2485829344,51.6349948778,49.8764940508,1
0.00557,67.2485829344,51.6349948778,49.8764940508,1
0.00558,67.2485829344,51.6349948778,49.8764940508,1
0.00559,67.2485829344,51.6349948778,49.8764940508,1
0.0056,66.9582300264,51.4956562944,49.8967492516,1
0.00561,66.9582300264,51.4956562944,49.8967492516,1
0.00562,66.9582300264,51.4956562944,49.8967492516,1
0.00563,66.9582300264,51.4956562944,49.8967492516,1
0.00564,66.9582300264,51.4956562944,49.8967492516,1
0.00565,66.6645954813,51.3482606206,49.9138241014,1
0.00566,66.6645954813,51.3482606206,49.9138241014,1
0.00567,66.6645954813,51.3482606206,49.9138241014,1
0.00568,66.6645954813,51.3482606206,49.9138241014,1
0.00569,66.6645954813,51.3482606206,49.9138241014,1
0.0057,66.3684172924,51.1932386095,49.9324484015,1
0.00571,66.3684172924,51.1932386095,49.9324484015,1
0.00572,66.3684172924,51.1932386095,49.9324484015,1
0.00573,66.3684172924,51.1932386095,49.9324484015,1
0.00574,66.3684172924,51.1932386095,49.9324484015,1
0.00575,66.0703269893,51.0308305435,49.9419922652,1
0.00576,66.0703269893,51.0308305435,49.9419922652,1
0.00577,66.0703269893,51.0308305435,49.9419922652,1
0.00578,66.0703269893,51.0308305435,49.9419922652,1
0.00579,66.0703269893,51.0308305435,49.9419922652,1
0.0058,65.7709792541,50.8611260946,49.9505576288,1
0.00581,65.7709792541,50.8611260946,49.9505576288,1
0.00582,65.7709792541,50.8611260946,49.9505576288,1
0.00583,65.7709792541,50.8611260946,49.9505576288,1
0.00584,65.7709792541,50.8611260946,49.9505576288,1
0.00585,65.4706176555,50.6846486342,49.9617846654,1
0.00586,65.4706176555,50.6846486342,49.9617846654,1
0.00587,65.4706176555,50.6846486342,49.9617846654,1
0.00588,65.4706176555,50.6846486342,49.9617846654,1
0.00589,65.4706176555,50.6846486342,49.9617846654,1
0.0059,65.1695243809,50.5013866631,49.9613506445,1
0.00591,65.1695243809,50.5013866631,49.9613506445,1
0.00592,65.1695243809,50.5013866631,49.9613506445,1
0.00593,65.1695243809,50.5013866631,49.9613506445,1
0.00594,65.1695243809,50.5013866631,49.9613506445,1
0.00595,64.8680386284,50.3116349279,49.9669530278,1
0.00596,64.8680386284,50.3116349279,49.9669530278,1
0.00597,64.8680386284,50.3116349279,49.9669530278,1
0.00598,64.8680386284,50.3116349279,49.9669530278,1
0.00599,64.8680386284,50.3116349279,49.9669530278,1
0.006,64.5662109729,50.1154753887,49.9743609246,1
0.00601,64.5662109729,50.1154753887,49.9743609246,1
0.00602,64.5662109729,50.1154753887,49.9743609246,1
0.00603,64.5662109729,50.1154753887,49.9743609246,1
0.00604,64.5662109729,50.1154753887,49.9743609246,1
0.00605,64.2640591037,49.9130086284,49.9716724201,1
0.00606,64.2640591037,49.9130086284,49.9716724201,1
0.00607,64.2640591037,49.9130086284,49.9716724201,1
0.00608,64.2640591037,49.9130086284,49.9716724201,1
0.00609,64.2640591037,49.9130086284,49.9716724201,1
0.0061,63.9617573568,49.7045604405,49.9802256966,1
0.00611,63.9617573568,49.7045604405,49.9802256966,1
0.00612,63.9617573568,49.7045604405,49.9802256966,1
0.00613,63.9617573568,49.7045604405,49.9802256966,1
0.00614,63.9617573568,49.7045604405,49.9802256966,1
0.00615,63.659288463,49.4901293601,49.9838892064,1
0.00616,63.659288463,49.4901293601,49.9838892064,1
0.00617,63.659288463,49.4901293601,49.9838892064,1
0.00618,63.659288463,49.4901293601,49.9838892064,1
0.00619,63.659288463,49.4901293601,49.9838892064,1
0.0062,63.3566163371,49.2698785026,49.9845860898,1
0.00621,63.3566163371,49.2698785026,49.9845860898,1
0.00622,63.3566163371,49.2698785026,49.9845860898,1
0.00623,63.3566163371,49.2698785026,49.9845860898,1
0.00624,63.3566163371,49.2698785026,49.9845860898,1
0.00625,63.0540003181,49.0441751687,49.9846972916,1
0.00626,63.0540003181,49.0441751687,49.9846972916,1
0.00627,63.0540003181,49.0441751687,49.9846972916,1
0.00628,63.0540003181,49.0441751687,49.9846972916,1
0.00629,63.0540003181,49.0441751687,49.9846972916,1
0.0063,62.7513427756,48.8129906742,49.9906383255,1
0.00631,62.7513427756,48.8129906742,49.9906383255,1
0.00632,62.7513427756,48.8129906742,49.9906383255,1
0.00633,62.7513427756,48.8129906742,49.9906383255,1
0.00634,62.7513427756,48.8129906742,49.9906383255,1
0.00635,62.4485608842,48.5764624869,49.9838723214,1
0.00636,62.4485608842,48.5764624869,49.9838723214,1
0.00637,62.4485608842,48.5764624869,49.9838723214,1
0.00638,62.4485608842,48.5764624869,49.9838723214,1
0.00639,62.4485608842,48.5764624869,49.9838723214,1
0.0064,62.1457463403,48.3347166889,49.9870532567,1
0.00641,62.1457463403,48.3347166889,49.9870532567,1
0.00642,62.1457463403,48.3347166889,49.9870532567,1
0.00643,62.1457463403,48.3347166889,49.9870532567,1
0.00644,62.1457463403,48.3347166889,49.9870532567,1
0.00645,61.8427236438,48.0880484614,49.9887296576,1
0.00646,61.8427236438,48.0880484614,49.9887296576,1
0.00647,61.8427236438,48.0880484614,49.9887296576,1
0.00648,61.8427236438,48.0880484614,49.9887296576,1
0.00649,61.8427236438,48.0880484614,49.9887296576,1
0.0065,61.5399000826,47.8365163478,49.9855481316,1
0.00651,61.5399000826,47.8365163478,49.9855481316,1
0.00652,61.5399000826,47.8365163478,49.9855481316,1
0.00653,61.5399000826,47.8365163478,49.9855481316,1
0.00654,61.5399000826,47.8365163478,49.9855481316,1
0.00655,61.2370359212,47.5804179943,49.991204131,1
0.00656,61.2370359212,47.5804179943,49.991204131,1
0.00657,61.2370359212,47.5804179943,49.991204131,1
0.00658,61.2370359212,47.5804179943,49.991204131,1
0.00659,61.2370359212,47.5804179943,49.991204131,1
0.0066,60.9341236345,47.3198255315,49.9875323616,1
0.00661,60.9341236345,47.3198255315,49.9875323616,1
0.00662,60.9341236345,47.3198255315,49.9875323616,1
0.00663,60.9341236345,47.3198255315,49.9875323616,1
0.00664,60.9341236345,47.3198255315,49.9875323616,1
0.00665,60.631174741,47.0549295571,49.9896937989,1
0.00666,60.631174741,47.0549295571,49.9896937989,1
0.00667,60.631174741,47.0549295571,49.9896937989,1
0.00668,60.631174741,47.0549295571,49.9896937989,1
0.00669,60.631174741,47.0549295571,49.9896937989,1
0.0067,60.328214418,46.7860437598,49.9915080231,1
0.00671,60.328214418,46.7860437598,49.9915080231,1
0.00672,60.328214418,46.7860437598,49.9915080231,1
0.00673,60.328214418,46.7860437598,49.9915080231,1
0.00674,60.328214418,46.7860437598,49.9915080231,1
0.00675,60.0252983577,46.5133967269,49.9868140718,1
0.00676,60.0252983577,46.5133967269,49.9868140718,1
0.00677,60.0252983577,46.5133967269,49.9868140718,1
0.00678,60.0252983577,46.5133967269,49.9868140718,1
0.00679,60.0252983577,46.5133967269,49.9868140718,1
0.0068,59.7224807493,46.2370455334,49.9827777096,1
0.00681,59.7224807493,46.2370455334,49.9827777096,1
0.00682,59.7224807493,46.2370455334,49.9827777096,1
0.00683,59.7224807493,46.2370455334,49.9827777096,1
0.00684,59.7224807493,46.2370455334,49.9827777096,1
0.00685,59.4195660902,45.9572080327,49.9826441274,1
0.00686,59.4195660902,45.9572080327,49.9826441274,1
0.00687,59.4195660902,45.9572080327,49.9826441274,1
0.00688,59.4195660902,45.9572080327,49.9826441274,1
0.00689,59.4195660902,45.9572080327,49.9826441274,1
0.0069,59.1166789992,45.6741611684,49.985112044,1
0.00691,59.1166789992,45.6741611684,49.985112044,1
0.00692,59.1166789992,45.6741611684,49.985112044,1
0.00693,59.1166789992,45.6741611684,49.985112044,1
0.00694,59.1166789992,45.6741611684,49.985112044,1
0.00695,58.8137658264,45.3880611339,49.983680436,1
0.00696,58.8137658264,45.3880611339,49.983680436,1
0.00697,58.8137658264,45.3880611339,49.983680436,1
0.00698,58.8137658264,45.3880611339,49.983680436,1
0.00699,58.8137658264,45.3880611339,49.983680436,1
0.007,58.5107476078,45.0991531014,49.9846452369,1
0.00701,58.5107476078,45.0991531014,49.9846452369,1
0.00702,58.5107476078,45.0991531014,49.9846452369,1
0.00703,58.5107476078,45.0991531014,49.9846452369,1
0.00704,58.5107476078,45.0991531014,49.9846452369,1
0.00705,58.2078620415,44.8077366783,49.9855429604,1
0.00706,58.2078620415,44.8077366783,49.9855429604,1
0.00707,58.2078620415,44.8077366783,49.9855429604,1
0.00708,58.2078620415,44.8077366783,49.9855429604,1
0.00709,58.2078620415,44.8077366783,49.9855429604,1
0.0071,57.9050510324,44.5139619752,49.982228779,1
0.00711,57.9050510324,44.5139619752,49.982228779,1
0.00712,57.9050510324,44.5139619752,49.982228779,1
0.00713,57.9050510324,44.5139619752,49.982228779,1
0.00714,57.9050510324,44.5139619752,49.982228779,1
0.00715,57.6021272558,44.2180631719,49.9835900972,1
0.00716,57.6021272558,44.2180631719,49.9835900972,1
0.00717,57.6021272558,44.2180631719,49.9835900972,1
0.00718,57.6021272558,44.2180631719,49.9835900972,1
